Index Name,Date,Open_spot,High_spot,Low_spot,Close_spot,Symbol,Expiry,Open_fut,High_fut,Low_fut,Close_fut,LTP_x,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value,DaysToExpiry,TradeDate,STRIKE,LTP_y,IV,VOLUME,OI,CHNG IN OI,OptionType,ATM,EMA_5,EMA_15,Spot_Return,Futures_Return,Futures_Basis,Delta,Gamma,Theta,Vega,Rho,PCR_OI,PCR_VOLUME,Gamma_Exposure,Call_IV,Put_IV,Average_IV,IV_Spread,Call_Delta,Put_Delta,Delta_Neutral_Ratio
NIFTY 50,2025-05-19,25005.35,25062.95,24916.65,24945.45,,,,,,,,,,,,,,,2025-05-19,,,,,,,,,24863.850151539067,24532.31021508065,-0.002976070564100508,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-20,24996.2,25010.35,24669.7,24683.9,,,,,,,,,,,,,,,2025-05-20,,,,,,,,,24803.866767692714,24551.25893819557,-0.010540231594245037,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-21,24744.25,24946.2,24685.35,24813.45,,,,,,,,,,,,,,,2025-05-21,,,,,,,,,24807.06117846181,24584.032820921126,0.005234635624772639,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-22,24733.95,24737.5,24462.4,24609.7,,,,,,,,,,,,,,,2025-05-22,,,,,,,,,24741.274118974543,24587.241218305986,-0.008245170706062392,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-23,24639.5,24909.05,24614.05,24853.15,,,,,,,,,,,,,,,2025-05-23,,,,,,,,,24778.566079316362,24620.479816017738,0.00984383091051175,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-26,24919.35,25079.2,24900.5,25001.15,,,,,,,,,,,,,,,2025-05-26,,,,,,,,,24852.760719544243,24668.06358901552,0.005937318737656441,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-27,24956.65,25062.9,24704.1,24826.2,,,,,,,,,,,,,,,2025-05-27,,,,,,,,,24843.907146362828,24687.830640388584,-0.007022276678678118,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-28,24832.5,24864.25,24737.05,24752.45,,,,,,,,,,,,,,,2025-05-28,,,,,,,,,24813.421430908555,24695.90806034001,-0.0029750731170425774,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-29,24825.1,24892.6,24677.3,24833.6,,,,,,,,,,,,,,,2025-05-29,,,,,,,,,24820.147620605705,24713.11955279751,0.003273100900270562,,,,,,,,,,,,,,,,,
NIFTY 50,2025-05-30,24812.6,24863.95,24717.4,24750.7,,,,,,,,,,,,,,,2025-05-30,,,,,,,,,24796.99841373714,24717.817108697822,-0.0033438034717525197,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-02,24669.7,24754.4,24526.15,24716.6,,,,,,,,,,,,,,,2025-06-02,,,,,,,,,24770.198942491428,24717.664970110596,-0.0013786887661705169,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-03,24786.3,24845.1,24502.15,24542.5,,,,,,,,,,,,,,,2025-06-03,,,,,,,,,24694.299294994285,24695.76934884677,-0.007068774092320617,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-04,24560.45,24644.25,24530.45,24620.2,,,,,,,,,,,,,,,2025-06-04,,,,,,,,,24669.599529996194,24686.323180240925,0.0031609356156210005,,,,,,,,,,,,,,,,,
